;;;;;;;;;;;;;;;;;;;;;ПРОИЗВОДСТВЕННО - СКЛАДСКОЙ КОМПЛЕКС «ЦИФРОВОЙ ПРОМЫШЛЕННЫЙ КОВОРКИНГ ИНДАСТРИАЛ СИТИ «ЛЕНИНСКИЙ»;;;;;;;
ID_проекта;№ п/п;Наименование  работ (разделов работ).;№ Договора;Шифр;Номер шифра;Блок;Шифр полный;"Ноябрь
0feb8a44-a0f4-11ef-af7f-0050560219d5;13;Конструкции железобетонные. Колонны. Изделия;65-ХСА-1/24;КЖ.И;4;U1,U2;65-ХСА-1/24-КЖ4.И-U1,U2;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";02.06.2025;"26.11.25 - бум. версия - ПО Высота
28.01.26 - бум.версия - СтальКонкрит"
0feb8a44-a0f4-11ef-af7f-0050560219d5;14;Конструкции железобетонные. Полы. ;65-ХСА-1/24;КЖ;5;U1,U2;65-ХСА-1/24-КЖ5-U1,U2;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 06.11.25";06.11.25 - Изм.1;"28.07.25 - эл.версия - Пакс-Механизация
27.11.25 - Изм.1 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;15;Конструкции железобетонные. Плиты перекрытий;65-ХСА-1/24;КЖ;6;U1,U2;65-ХСА-1/24-КЖ6-U1,U2;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;КРП выдал 24.06.25;09.07.2025;27.11.25 - эл. версия - СВ
0feb8a44-a0f4-11ef-af7f-0050560219d5;16;Конструкции металлические. Покрытие;65-ХСА-1/24;КМ;1;U1,U2;65-ХСА-1/24-КМ1-U1,U2;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25";02.06.2025;"30.11.25 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;17;Конструкции металлические. Конструкции АБК;65-ХСА-1/24;КМ;2;U1,U2;65-ХСА-1/24-КМ2-U1,U2;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 15.06.25";16.06.2025;"30.11.25 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;18;Конструкции металлические. Наружный фахверк;65-ХСА-1/24;КМ;3;U1,U2;65-ХСА-1/24-КМ3-U1,U2;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 15.06.25
КРП выдал 18.06.25
Изм.1 - КРП выдал 03.07.25
Изм.2 - КРП выдал 06.08.25
Изм.3 - КРП выдал 12.09.25
Изм.4 - КРП выдал 19.01.26";"19.06.25
03.07.25 - Изм.1
07.08.25 - Изм.2
13.09.25 - Изм.3
19.01.26 - Изм.4";"30.11.25 - Изм.3 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - Изм.3 - эл. версия - СВ
19.01.26 - Изм.4 - эл. версия - СВ
19.01.26 - Изм.4 - эл.версия - ХТ-Инструмент ПРО"
0feb8a44-a0f4-11ef-af7f-0050560219d5;19;Конструкции металлические. Внутренний фахверк;65-ХСА-1/24;КМ;4;U1,U2;65-ХСА-1/24-КМ4-U1,U2;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
Изм.1 - КРП выдал 01.10.25";"09.06.2025
Изм.1 - 02.10.25";"30.11.25 - Изм.1 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - Изм.1 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;20;Электрическое освещение и электрооборудование;65-ХСА-1/24;ЭОМ;;U1,U2;65-ХСА-1/24-ЭОМ-U1,U2;;;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;31.05.2025;Загружен, возвращен на доработку (загружена старая версия);на рассмотрении;Исключить крыки лотков (для ОКЛ остаются);;"КРП выдал 18.06.25
КРП выдал 07.07.25
КРП выдал 08.09.25
Изм.1 - КРП выдал 02.03.26";"07.07.25
07.11.25";
0feb8a44-a0f4-11ef-af7f-0050560219d5;21;Внутренние системы водоснабжения и канализации;65-ХСА-1/24;ВК;;U1,U2;65-ХСА-1/24-ВК-U1,U2;;;;;;;;;;;;;;31.05.2025;Загружен, принят;на рассмотрении;ошибки спецификаций;;"КРП выдал 27.06.25
Изм.1 - КРП выдал 02.03.26
Изм.1 - КРП выдал 12.03.26
Изм.1 - КРП выдал 20.03.26";02.10.2025;27.11.25 - эл. версия - СВ
0feb8a44-a0f4-11ef-af7f-0050560219d5;22;Автоматическая установка пожаротушения;65-ХСА-1/24;АПТ;;U1,U2;65-ХСА-1/24-АУПТ-U1,U2;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;;;"КРП выдал 18.06.25
Изм.1 - КРП выдал 02.03.26";"01.08.25
30.03.26 - Изм.1";
0feb8a44-a0f4-11ef-af7f-0050560219d5;23;Отопление, вентиляция и кондиционирование;65-ХСА-1/24;ОВ;;U1,U2;65-ХСА-1/24-ОВ-U1,U2;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;;"КРП выдал 27.06.25
КРП выдал 12.03.26
КРП выдал 20.03.26";03.04.2026;
0feb8a44-a0f4-11ef-af7f-0050560219d5;24;Пожарная сигнализация;65-ХСА-1/24;ПС;;U1,U2;65-ХСА-1/24-ПС-U1,U2;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;"По распоряжению №68-LI от 19.03.26г.:
 1.  Для  локального  контроля  и  оперативного  управления  подсистемами 
резидентов предусмотреть проектом комплектацию шкафов пожарной сигнализации 
(ШПС), блоком световой и звуковой индикации состояния разделов типа С2000-бки с 
возможностью ограничения доступа к органам управления при помощи встроенного 
считывателя ключей. Touch Memory.  
2. Размещения шкафов пожарной сигнализации (ШПС) в боксах резидентов 
выполнить в производственно-складских помещениях. Место размещения определить 
проектом.  Решение  подлежит  дополнительному  согласованию  с  проектно-
инвестиционной группой заказчика. ";10.04.2026;"КРП выдал 24.06.25
Изм.1 - КРП выдал 12.03.26";"04.08.2025
23.03.26 - Изм.1";
0feb8a44-a0f4-11ef-af7f-0050560219d5;25;Автоматизация комплексная;65-ХСА-1/24;АК;;U1,U2;65-ХСА-1/24-АК-U1,U2;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;не принят;"По распоряжению №52-Li от 12.08.25 откорректировать планировочные решения, позволяющие использовать труд МГН (Решение по организации дуплексной связи санузла МГН)

оформить изм";31.03.2026;"КРП выдал 01.08.25
КРП выдал 08.09.25";07.08.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;26;Огнестойкость металлических конструкций;65-ХСА-1/24;ОГН;;U1,U2;Огнестойкость МК;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;;"КРП выдал 27.06.25
Изм.1 - КРП выдал 15.01.26";"10.07.2025
16.01.26 - Изм.1";30.03.26 - Изм.1 - эл.версия - ООО Статус-М
0feb8a44-a0f4-11ef-af7f-0050560219d5;;Блок U3.U4;;;;;;;;;;;;;;;;;;;;;;;;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;1;Общие архитектурные решения;65-ХСА-1/24;АС;1;U3,U4;65-ХСА-1/24-АС1-U3,U4;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;;;30.04.2025;Загружен, возвращен на доработку;не принят;"согласно распоряжения №52-LI от 12.08.25 скорректировать планировку санузлов для МГН

По распоряжению №60-LI от 10.12.25:
Надпись номера помещения (бокса) на фасаде офисной части здания:
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Без контурной подсветки;
Высота надписи - 1200 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на торцевых фасадах здания:
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 2000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Для всех форматов LI предусмотреть световые знаки с названием улицы, строения, номера строения на боковых фасадах, ориентированных на основные проезды и внешние улично-дорожные сети, с подключением к сети электроснабжения (световой знак с названием улицы и нумерацией ГОСТ 180 (5 мм)/D44. Передняя панель - акрил + полноцветная печать на пленке ORACAL. Торец. задняя часть - ПВХ. Комплектация: светодиодная подсветка 24W, 6400 К, 152 см, 230V Ширина полосы 3,5 см (с подсветкой))

 по распоряжению №59-LI от 04.12.25 Предусмотреть  железобетонные  (сборные/монолитные  –  определить проектом) цокольные панели h-300 мм для витражей главного фасада

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто

по Распоряжению №63-Li от 27.01.26г. предусмотреть окраску Ж/Б цокольных панелей и Ж/б колонн фасадной матовой краской Linnimax Silkon Super Fassade, (или аналог по согласованию с Заказчиком). Цвет RAL 7035 светло серый под бетон;


По распоряжению №66-Li от 02.02.26 предусмотреть отделку декоративными перфорированными экранами ливневой канализации

По распоряжению 04-ДП от 23.03.26г. предусмотреть:
Основная отделка стен предусмотрена СМЛ панелями высотой 3м (Панель - поталь титан (панели монтируются в 1 слой));
Декоративная отделка стен предусмотрена реечными стеновыми панелями (Панель ""WINAL"" лист HPL пластик Металлик LM-1003 со скрытым креплением);
Применить вертикальный стыковочный профиль высотой 3 м;
Применить плинтус цветпо RAL 7024 WNL 100х13
Участки стен выше 3 м -""лобик"", предусмотреть в вариантах из СМЛ панелей или ГКЛ в цвет потолочных конструкций";30.04.2026;КРП выдал 27.06.25;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;2;Стеновые и кровельные ограждающие конструкции;65-ХСА-1/24;АС;2;U3,U4;65-ХСА-1/24-АС2-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, возвращен на доработку;не принят;"согласно распоряжения №53к-Li от 06.02.26: 
1.остекление входных групп выполнить двухкамерными стеклопакетами (СПД4Т/Gray-12-4-12-4), стекло тонированное Planibel Grey;
2.Остекление дверного блока выполнить однокамерными стеклопакетами по формуле СПД4Т/Grey-20-4, стекло тонированное Planibel Grey;
3.Дверное полотно каждого из боксов оборудовать:
3.1. Доводчиком с ограничением открывания полотна типа TS, производителя «DORMA» со скользящей тягой, или аналог;
3.2. Врезным механическим замком серии 920 производителя «DORMA», или аналог с защелкой и штифтовым механизмом, который предусматривается для запирания входной двери в том числе вне рабочего времени;
3.3. Цилиндр врезного замка типа ключ – вертушка серии CBR-1 PRO производителя «DORMA», или аналог с накладками из нержавеющей стали с наружной стороны;
3.4. Наружной ручкой типа скоба из нержавеющей стали высоту которой принять по формуле: высота дверного блока -500 мм. Ручку причинять производителя «FUARO», марки PULL.PH32/*.45 INOX 304, или аналог конструкцией которой должна предусматривать собой нормальный доступ к цилиндру механического врезного замка. Размещение ручки выполнить по центру дверного полотна;
3.5. Внутренняя фалевая ручка типа модели Pure 8100 / 6621 / 6679 производителя, производителя «DORMA»;
3.6. Электромеханической защелкой производителя Soca SL-350B или аналог, которая предусматривается в качестве ответной планки защелке врезного механического замка;
3.7. Упор дверной из нержавеющей стали с резиновым кольцом;
3.8. Комплектом локальной системы контроля и управления доступом (СКУД) в соответствии с требованиями пункта – Система контроля и управления доступом (СКУД) АББ резидентов, указанный в типовых технических заданиях.
4. Проход в боксы резидентов выполняется путем управления защелкой Soca SL-350B. Подача сигнала «ОТКРЫТЬ» для которой формируется на наружной панели видеодомофона с помощью ключом-картой или кнопкой «Открыть» с основной панели видеодомофона, расположенной внутри бокса.
5. Выход из бокса осуществляется путем управления механической защелкой с помощью нажимной фалевой ручки типа «Антипаника».

 по распоряжению №59-LI от 04.12.25 Предусмотреть  железобетонные  (сборные/монолитные  –  определить проектом) цокольные панели h-300 мм для витражей главного фасада

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто";20.04.2026;"КРП выдал 03.06.25
КРП выдал 27.06.25";11.07.2025;27.11.25 - эл. версия - СВ
0feb8a44-a0f4-11ef-af7f-0050560219d5;3;Внутренние перегородки из сэндвич-панелей;65-ХСА-1/24;АС;3;U3,U4;65-ХСА-1/24-АС3-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;"по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто
по распоряжению №62-Li от 26.01.26г. Предусмотреть индивидуальные дверные блоки в технические помещения заводского изготовления вместе с вентиляционной решёткой единым изделием. Высоту вентиляционных решеток принять одинаковой высоты для всех дверей, но не более 600 мм. В помещениях силовых трансформаторов предусмотреть вентиляционные отверстия в нижней части дверей для притока воздуха и в верхней части фрамуги для его удаления. Верх окон и дверей с решётками на фасаде предусмореть в одном уровне. Цвет дверей RAL 7016, фасонных элементов RAL 7024.";20.04.2026;КРП выдал 27.06.25;07.11.2025;27.11.25 - эл. версия - СВ
0feb8a44-a0f4-11ef-af7f-0050560219d5;4;Конструктивные решения пристроек;65-ХСА-1/24;АС;4;U3,U4;65-ХСА-1/24-АС4-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 12.11.25
Изм.2 - КРП выдал 06.02.26";"03.07.25
14.11.25 - Изм.1
06.02.26 - Изм.2";"30.11.25 - Изм.1 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - Изм.1 - эл. версия - СВ
06.02.26 - Изм.2 - эл. версия - ХТ-Инструмент ПРО
06.02.26 - Изм.2 - эл.версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;5;Архитектурно-строительные решения пристроек;65-ХСА-1/24;АС;5;U3,U4;65-ХСА-1/24-АС5-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто;20.04.2026;"КРП выдал 06.06.25
КРП выдал 27.06.25";12.08.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;6;Конструкции железобетонные. Фундаменты;65-ХСА-1/24;КЖ;1;U3,U4;65-ХСА-1/24-КЖ1-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 30.05.25";"15.05.25
02.06.25 - Изм.1";"06.10.25 - Изм.1 - бум. версия - ООО «СвайСпецСтрой-Р»
27.11.25 - Изм.1 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;7;Конструкции железобетонные. Фундаменты. Изделия;65-ХСА-1/24;КЖ.И;1;U3,U4;65-ХСА-1/24-КЖ1.И-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";23.05.2025;"26.11.25 - бум. версия - ПО Высота
28.01.26 - бум.версия - СтальКонкрит"
0feb8a44-a0f4-11ef-af7f-0050560219d5;8;Конструкции железобетонные. Цокольные панели;65-ХСА-1/24;КЖ;2;U3,U4;65-ХСА-1/24-КЖ2-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;корректировка пилообразной части цоколя;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 30.05.25
Изм.2 - КРП выдал 05.08.25
Изм.3 - КРП выдал 18.02.26";"02.06.25 - Изм.1
05.08.25 - Изм.2
18.02.26 - Изм.3";"27.11.25 - Изм.2 - эл. версия - СВ
18.02.26 - Изм.3 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;9;Конструкции железобетонные. Цокольные панели. Изделия;65-ХСА-1/24;КЖ.И;2;U3,U4;65-ХСА-1/24-КЖ2.И-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;корректировка пилообразной части цоколя;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 05.08.25";"27.05.25
05.08.25 - Изм.1";"26.11.25 - Изм.1 - бум. версия - ПО Высота
28.01.26 - Изм.1 - бум.версия - СтальКонкрит"
0feb8a44-a0f4-11ef-af7f-0050560219d5;10;Конструкции железобетонные. Доклевеллеры;65-ХСА-1/24;КЖ;3;U3,U4;65-ХСА-1/24-КЖ3-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";20.05.2025;27.11.25 - эл. версия - СВ
0feb8a44-a0f4-11ef-af7f-0050560219d5;11;Конструкции железобетонные. Доклевеллеры. Изделия;65-ХСА-1/24;КЖ.И;3;U3,U4;65-ХСА-1/24-КЖ3.И-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";20.05.2025;"26.11.25 - бум. версия - ПО Высота
28.01.26 - бум.версия - СтальКонкрит"
0feb8a44-a0f4-11ef-af7f-0050560219d5;12;Конструкции железобетонные. Колонны;65-ХСА-1/24;КЖ;4;U3,U4;65-ХСА-1/24-КЖ4-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 13.03.26";"20.05.25
16.03.26 - Изм.1";"27.11.25 - эл. версия - СВ
16.03.26 - эл. Версия - Изм.1 - Интерстрой"
0feb8a44-a0f4-11ef-af7f-0050560219d5;13;Конструкции железобетонные. Колонны. Изделия;65-ХСА-1/24;КЖ.И;4;U3,U4;65-ХСА-1/24-КЖ4.И-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";02.06.2025;"26.11.25 - бум. версия - ПО Высота
28.01.26 - бум.версия - СтальКонкрит"
0feb8a44-a0f4-11ef-af7f-0050560219d5;14;Конструкции железобетонные. Полы. ;65-ХСА-1/24;КЖ;5;U3,U4;65-ХСА-1/24-КЖ5-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 06.11.25";06.11.25 - Изм.1;"28.07.25 - эл.версия - Пакс-Механизация
27.11.25 - Изм.1 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;15;Конструкции железобетонные. Плиты перекрытий;65-ХСА-1/24;КЖ;6;U3,U4;65-ХСА-1/24-КЖ6-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;КРП выдал 24.06.25;09.07.2025;27.11.25 - эл. версия - СВ
0feb8a44-a0f4-11ef-af7f-0050560219d5;16;Конструкции металлические. Покрытие;65-ХСА-1/24;КМ;1;U3,U4;65-ХСА-1/24-КМ1-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25";02.06.2025;"30.11.25 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;17;Конструкции металлические. Конструкции АБК;65-ХСА-1/24;КМ;2;U3,U4;65-ХСА-1/24-КМ2-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 15.06.25";16.06.2025;"30.11.25 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;18;Конструкции металлические. Наружный фахверк;65-ХСА-1/24;КМ;3;U3,U4;65-ХСА-1/24-КМ3-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 15.06.25
КРП выдал 18.06.25
Изм.1 - КРП выдал 03.07.25
Изм.2 - КРП выдал 06.08.25
Изм.3 - КРП выдал 12.09.25
Изм.4 - КРП выдал 19.01.26";"19.06.25
03.07.25 - Изм.1
07.08.25 - Изм.2
13.09.25 - Изм.3
19.01.26 - Изм.4";"30.11.25 - Изм.3 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - Изм.3 - эл. версия - СВ
19.01.26 - Изм.4 - эл. версия - СВ
19.01.26 - Изм.4 - эл.версия - ХТ-Инструмент ПРО"
0feb8a44-a0f4-11ef-af7f-0050560219d5;19;Конструкции металлические. Внутренний фахверк;65-ХСА-1/24;КМ;4;U3,U4;65-ХСА-1/24-КМ4-U3,U4;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
Изм.1 - КРП выдал 01.10.25";"09.06.25
Изм.1 - 02.10.25";"30.11.25 - Изм.1 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - Изм.1 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;20;Электрическое освещение и электрооборудование;65-ХСА-1/24;ЭОМ;;U3,U4;65-ХСА-1/24-ЭОМ-U3,U4;;;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;31.05.2025;Загружен, возвращен на доработку;на рассмотрении;Исключить крыки лотков (для ОКЛ остаются);;"КРП выдал 18.06.25
КРП выдал 07.07.25
КРП выдал 08.09.25
Изм.1 - КРП выдал 02.03.26";07.07.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;21;Внутренние системы водоснабжения и канализации;65-ХСА-1/24;ВК;;U3,U4;65-ХСА-1/24-ВК-U3,U4;;;;;;;;;;;;;;31.05.2025;Загружен, принят;на рассмотрении;ошибки спецификаций;;"КРП выдал 27.06.25
Изм.1 - КРП выдал 02.03.26
Изм.1 - КРП выдал 12.03.26
Изм.1 - КРП выдал 20.03.26";02.10.2025;27.11.25 - эл. версия - СВ
0feb8a44-a0f4-11ef-af7f-0050560219d5;22;Автоматическая установка пожаротушения;65-ХСА-1/24;АПТ;;U3,U4;65-ХСА-1/24-АУПТ-U3,U4;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;;;"КРП выдал 18.06.25
Изм.1 - КРП выдал 02.03.26";"01.08.25
30.03.26 - Изм.1";
0feb8a44-a0f4-11ef-af7f-0050560219d5;23;Отопление, вентиляция и кондиционирование;65-ХСА-1/24;ОВ;;U3,U4;65-ХСА-1/24-ОВ-U3,U4;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;;"КРП выдал 27.06.25
КРП выдал 12.03.26
КРП выдал 20.03.26";03.04.2026;
0feb8a44-a0f4-11ef-af7f-0050560219d5;24;Пожарная сигнализация;65-ХСА-1/24;ПС;;U3,U4;65-ХСА-1/24-ПС-U3,U4;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;"По распоряжению №68-LI от 19.03.26г.:
 1.  Для  локального  контроля  и  оперативного  управления  подсистемами 
резидентов предусмотреть проектом комплектацию шкафов пожарной сигнализации 
(ШПС), блоком световой и звуковой индикации состояния разделов типа С2000-бки с 
возможностью ограничения доступа к органам управления при помощи встроенного 
считывателя ключей. Touch Memory.  
2. Размещения шкафов пожарной сигнализации (ШПС) в боксах резидентов 
выполнить в производственно-складских помещениях. Место размещения определить 
проектом.  Решение  подлежит  дополнительному  согласованию  с  проектно-
инвестиционной группой заказчика. ";10.04.2026;"КРП выдал 24.06.25
Изм.1 - КРП выдал 12.03.26";"04.08.2025
23.03.26 - Изм.1";
0feb8a44-a0f4-11ef-af7f-0050560219d5;25;Автоматизация комплексная;65-ХСА-1/24;АК;;U3,U4;65-ХСА-1/24-АК-U3,U4;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;не принят;"оформить изм

По распоряжению №52-Li от 12.08.25 откорректировать планировочные решения, позволяющие использовать труд МГН (Решение по организации дуплексной связи санузла МГН)";31.03.2026;"КРП выдал 01.08.25
КРП выдал 08.09.25";07.08.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;26;Огнестойкость металлических конструкций;65-ХСА-1/24;ОГН;;U3,U4;Огнестойкость МК;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;;"КРП выдал 27.06.25
Изм.1 - КРП выдал 15.01.26";"10.07.2025
16.01.26 - Изм.1";30.03.26 - Изм.1 - эл.версия - ООО Статус-М
0feb8a44-a0f4-11ef-af7f-0050560219d5;;КПП;;;;;;;;;;;;;;;;;;;;;;;;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;1;Общие архитектурно-строительные решения. ;65-ХСА-1/24;АС;;КПП;65-ХСА-1/24-АС-КПП;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;;;30.04.2025;Загружен, возвращен на доработку;не принят;"согласно распоряжения добавить в отделку окраску запотолочных конструкций акриловой эластичной краской для потолка “Marell Pro 5” или аналогичной по качеству

Добавить описание ручек двери

По распоряжению №14-ОИ от 01.04.26:
Ограждающие конструкции - наружная сторона цвет по RAL 3000, внутреняя сторона по RAL 9003;
Наружные фасонные элементы - из крашенной оцинкованной стали с полимерным покрытием RAL 3000. Все швы фасонных элементов герметизировать наружным герметиком в цвет фасада. Заклёпки крепления фасонных элементов проёмов предусмотреть с торцов (на лицевой поверхности отсутствуют);
Окна - блоки из аллюминиевого профиля, окрашенного в цвет по RAL 7016 с обеих сторон с открывающимися поворотно-откидными створками для обеспечения естественной вентиляции. Характеристики стеклопакета: СПД4Т/Grey-12-4-12-4, стекло тонироанное Planibel Grey.
Двери - блоки из аллюминиевого профиля, окрашенного в цвет поRAL 7016. Характеристики стеклопакета: СПД4Т/Grey-12-4-12-4, стекло тонироанное Planibel Grey.";04.05.2026;"КРП выдал 03.06.25
КРП выдал 27.06.25";;27.11.25 - эл. версия - СВ
0feb8a44-a0f4-11ef-af7f-0050560219d5;2;Конструкции железобетонные, конструкции металлические.;65-ХСА-1/24;КЖ,КМ;;КПП;65-ХСА-1/24-КЖ,КМ-КПП;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
КРП выдал 13.08.25";"27.05.25
13.08.25";"30.11.25 - бум.версия - ХТ-Инструмент ПРО
27.11.25 - эл. версия - СВ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;3;Электрическое освещение и электрооборудование. ;65-ХСА-1/24;ЭОМ;;КПП;65-ХСА-1/24-ЭОМ-КПП;;;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;31.05.2025;Загружен, возвращен на доработку (загружена старая версия);принят;"Novotech  Kaimas заменить на ""MAYTONI”, серии Brick 3000K 10Вт (уточнения распоряжения №65-LI от ";06.04.2026;"КРП выдал 18.06.25
КРП выдал 08.09.25";"18.08.25
22.09.25";
0feb8a44-a0f4-11ef-af7f-0050560219d5;4;Внутренние системы водоснабжения и канализации. ;65-ХСА-1/24;ВК;;КПП;65-ХСА-1/24-ВК-КПП;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;;;КРП выдал 27.06.25;18.08.2025;27.11.25 - эл. версия - СВ
